counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9966.77,msec,task-clock,9966772096,100.00,0.996,CPUs utilized
514,,context-switches,9966769596,100.00,51.571,/sec
1,,cpu-migrations,9966766846,100.00,0.100,/sec
0,,page-faults,9966765262,100.00,0.000,/sec
15953538333,,cycles,9972557871,100.00,1.601,GHz
3207905240,,instructions,9972540079,100.00,0.20,insn per cycle
,,,,3.97,stalled cycles per insn
1234034,,branches,9972535288,100.00,123.815,K/sec
113190,,branch-misses,9972525496,100.00,9.17,of all branches
10088067,,stalled-cycles-frontend,9972517164,100.00,0.06,frontend cycles idle
12737782902,,stalled-cycles-backend,9972506789,100.00,79.84,backend cycles idle
28649874346,,eu_stall,9972493830,100.00,2.875,G/sec
10426472,,if_stall,9972479497,100.00,1.046,M/sec
2015047,,id_stall,9972464206,100.00,202.176,K/sec
98901,,ib_stall,9972448122,100.00,9.923,K/sec
