counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.12,msec,task-clock,10003122877,100.00,1.000,CPUs utilized
13,,context-switches,10003117502,100.00,1.300,/sec
0,,cpu-migrations,10003117127,100.00,0.000,/sec
0,,page-faults,10003115918,100.00,0.000,/sec
16004926119,,cycles,10003129004,100.00,1.600,GHz
4006086773,,instructions,10003115003,100.00,0.25,insn per cycle
,,,,2.99,stalled cycles per insn
559665,,branches,10003112753,100.00,55.949,K/sec
9252,,branch-misses,10003104461,100.00,1.65,of all branches
3852334,,stalled-cycles-frontend,10003098586,100.00,0.02,frontend cycles idle
11997141796,,stalled-cycles-backend,10003088960,100.00,74.96,backend cycles idle
27988444372,,eu_stall,10003080461,100.00,2.798,G/sec
4254055,,if_stall,10003068295,100.00,425.273,K/sec
908850,,id_stall,10003054669,100.00,90.857,K/sec
39101,,ib_stall,10003037878,100.00,3.909,K/sec
