counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10007.86,msec,task-clock,10007863296,100.00,1.000,CPUs utilized
2,,context-switches,10007862671,100.00,0.200,/sec
0,,cpu-migrations,10007862670,100.00,0.000,/sec
0,,page-faults,10007863920,100.00,0.000,/sec
16012447085,,cycles,10007800921,100.00,1.600,GHz
31965870271,,instructions,10007792295,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
512254,,branches,10007792879,100.00,51.185,K/sec
3660,,branch-misses,10007789129,100.00,0.71,of all branches
20723803,,stalled-cycles-frontend,10007785046,100.00,0.13,frontend cycles idle
3923379,,stalled-cycles-backend,10007778380,100.00,0.02,backend cycles idle
2920476,,eu_stall,10007769005,100.00,291.818,K/sec
3996013,,if_stall,10007758379,100.00,399.287,K/sec
650127,,id_stall,10007745546,100.00,64.962,K/sec
35925,,ib_stall,10007730587,100.00,3.590,K/sec
