counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9964.55,msec,task-clock,9964554297,100.00,0.996,CPUs utilized
529,,context-switches,9964549506,100.00,53.088,/sec
0,,cpu-migrations,9964548631,100.00,0.000,/sec
0,,page-faults,9964548380,100.00,0.000,/sec
15950019335,,cycles,9970179336,100.00,1.601,GHz
6481678730,,instructions,9970161003,100.00,0.41,insn per cycle
,,,,1.48,stalled cycles per insn
1236153,,branches,9970156086,100.00,124.055,K/sec
116032,,branch-misses,9970146086,100.00,9.39,of all branches
10382595,,stalled-cycles-frontend,9970138211,100.00,0.07,frontend cycles idle
9575705083,,stalled-cycles-backend,9970129170,100.00,60.04,backend cycles idle
703900232,,eu_stall,9970116837,100.00,70.640,M/sec
10581021,,if_stall,9970103212,100.00,1.062,M/sec
1555029,,id_stall,9970089212,100.00,156.056,K/sec
106634,,ib_stall,9970072170,100.00,10.701,K/sec
