counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10002.55,msec,task-clock,10002549796,100.00,1.000,CPUs utilized
24,,context-switches,10002550045,100.00,2.399,/sec
0,,cpu-migrations,10002548462,100.00,0.000,/sec
0,,page-faults,10002547254,100.00,0.000,/sec
16003926883,,cycles,10002557833,100.00,1.600,GHz
31957886660,,instructions,10002552583,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
584019,,branches,10002550166,100.00,58.387,K/sec
14478,,branch-misses,10002543833,100.00,2.48,of all branches
14640690,,stalled-cycles-frontend,10002536917,100.00,0.09,frontend cycles idle
5097100,,stalled-cycles-backend,10002529126,100.00,0.03,backend cycles idle
4073880,,eu_stall,10002521293,100.00,407.284,K/sec
5446104,,if_stall,10002508251,100.00,544.472,K/sec
1124038,,id_stall,10002494168,100.00,112.375,K/sec
41723,,ib_stall,10002476294,100.00,4.171,K/sec
