counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.11,msec,task-clock,10003109503,100.00,1.000,CPUs utilized
12,,context-switches,10003106544,100.00,1.200,/sec
0,,cpu-migrations,10003104836,100.00,0.000,/sec
0,,page-faults,10003104878,100.00,0.000,/sec
16004857608,,cycles,10003094963,100.00,1.600,GHz
4721738448,,instructions,10003080713,100.00,0.30,insn per cycle
,,,,2.41,stalled cycles per insn
554442,,branches,10003076005,100.00,55.427,K/sec
8396,,branch-misses,10003067046,100.00,1.51,of all branches
4005105,,stalled-cycles-frontend,10003060504,100.00,0.03,frontend cycles idle
11365285836,,stalled-cycles-backend,10003053212,100.00,71.01,backend cycles idle
7330017441,,eu_stall,10003042296,100.00,732.774,M/sec
4379481,,if_stall,10003029296,100.00,437.812,K/sec
807029,,id_stall,10003014421,100.00,80.678,K/sec
38931,,ib_stall,10002995962,100.00,3.892,K/sec
