counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9974.39,msec,task-clock,9974388232,100.00,0.997,CPUs utilized
414,,context-switches,9974382398,100.00,41.506,/sec
0,,cpu-migrations,9974381940,100.00,0.000,/sec
0,,page-faults,9974381898,100.00,0.000,/sec
15964089018,,cycles,9978648055,100.00,1.601,GHz
2994810380,,instructions,9978633097,100.00,0.19,insn per cycle
,,,,4.33,stalled cycles per insn
1066904,,branches,9978628638,100.00,106.964,K/sec
93434,,branch-misses,9978616846,100.00,8.76,of all branches
9377691,,stalled-cycles-frontend,9978607846,100.00,0.06,frontend cycles idle
12962327049,,stalled-cycles-backend,9978598221,100.00,81.20,backend cycles idle
7442286845,,eu_stall,9978587429,100.00,746.140,M/sec
9803179,,if_stall,9978572512,100.00,982.835,K/sec
1526831,,id_stall,9978551928,100.00,153.075,K/sec
89185,,ib_stall,9978523428,100.00,8.941,K/sec
