counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.41,msec,task-clock,10003414959,100.00,1.000,CPUs utilized
10,,context-switches,10003410626,100.00,1.000,/sec
0,,cpu-migrations,10003409542,100.00,0.000,/sec
0,,page-faults,10003409292,100.00,0.000,/sec
16005321881,,cycles,10003379506,100.00,1.600,GHz
4875262685,,instructions,10003366465,100.00,0.30,insn per cycle
,,,,2.28,stalled cycles per insn
537422,,branches,10003364381,100.00,53.724,K/sec
7931,,branch-misses,10003355840,100.00,1.48,of all branches
4249717,,stalled-cycles-frontend,10003349298,100.00,0.03,frontend cycles idle
11127940046,,stalled-cycles-backend,10003339423,100.00,69.53,backend cycles idle
8349292065,,eu_stall,10003329214,100.00,834.644,M/sec
4650035,,if_stall,10003317255,100.00,464.845,K/sec
826256,,id_stall,10003303380,100.00,82.597,K/sec
38912,,ib_stall,10003286130,100.00,3.890,K/sec
