counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10002.19,msec,task-clock,10002186127,100.00,1.000,CPUs utilized
15,,context-switches,10002181961,100.00,1.500,/sec
0,,cpu-migrations,10002181461,100.00,0.000,/sec
0,,page-faults,10002181794,100.00,0.000,/sec
16003496764,,cycles,10002248835,100.00,1.600,GHz
16590900658,,instructions,10002238293,100.00,1.04,insn per cycle
,,,,0.00,stalled cycles per insn
558452,,branches,10002235377,100.00,55.833,K/sec
10132,,branch-misses,10002227669,100.00,1.81,of all branches
5020488,,stalled-cycles-frontend,10002218377,100.00,0.03,frontend cycles idle
5174530,,stalled-cycles-backend,10002210044,100.00,0.03,backend cycles idle
4885723,,eu_stall,10002198377,100.00,488.466,K/sec
4206390,,if_stall,10002184293,100.00,420.547,K/sec
840342,,id_stall,10002169918,100.00,84.016,K/sec
41455,,ib_stall,10002150960,100.00,4.145,K/sec
