counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.85,msec,task-clock,10003848377,100.00,1.000,CPUs utilized
2,,context-switches,10003851086,100.00,0.200,/sec
0,,cpu-migrations,10003851962,100.00,0.000,/sec
0,,page-faults,10003853378,100.00,0.000,/sec
16006048351,,cycles,10003800130,100.00,1.600,GHz
16593759241,,instructions,10003795922,100.00,1.04,insn per cycle
,,,,0.00,stalled cycles per insn
520091,,branches,10003794214,100.00,51.989,K/sec
4974,,branch-misses,10003789172,100.00,0.96,of all branches
5464357,,stalled-cycles-frontend,10003785631,100.00,0.03,frontend cycles idle
4508714,,stalled-cycles-backend,10003779672,100.00,0.03,backend cycles idle
3315545,,eu_stall,10003772713,100.00,331.427,K/sec
4666794,,if_stall,10003761671,100.00,466.500,K/sec
816954,,id_stall,10003748379,100.00,81.664,K/sec
36566,,ib_stall,10003733295,100.00,3.655,K/sec
