counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.89,msec,task-clock,10003892127,100.00,1.000,CPUs utilized
2,,context-switches,10003893752,100.00,0.200,/sec
0,,cpu-migrations,10003893170,100.00,0.000,/sec
0,,page-faults,10003893336,100.00,0.000,/sec
16006112042,,cycles,10003838420,100.00,1.600,GHz
16594262865,,instructions,10003833546,100.00,1.04,insn per cycle
,,,,0.00,stalled cycles per insn
509122,,branches,10003832046,100.00,50.892,K/sec
3776,,branch-misses,10003824671,100.00,0.74,of all branches
4532682,,stalled-cycles-frontend,10003819379,100.00,0.03,frontend cycles idle
4944466,,stalled-cycles-backend,10003812338,100.00,0.03,backend cycles idle
4448998,,eu_stall,10003804129,100.00,444.727,K/sec
3807475,,if_stall,10003793129,100.00,380.599,K/sec
924160,,id_stall,10003778420,100.00,92.380,K/sec
36033,,ib_stall,10003763795,100.00,3.602,K/sec
