counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10007.50,msec,task-clock,10007495295,100.00,1.000,CPUs utilized
10,,context-switches,10007491920,100.00,0.999,/sec
0,,cpu-migrations,10007490337,100.00,0.000,/sec
0,,page-faults,10007489378,100.00,0.000,/sec
16011888541,,cycles,10007471672,100.00,1.600,GHz
6796117168,,instructions,10007458256,100.00,0.42,insn per cycle
,,,,1.43,stalled cycles per insn
538545,,branches,10007456214,100.00,53.814,K/sec
8381,,branch-misses,10007446214,100.00,1.56,of all branches
3790513,,stalled-cycles-frontend,10007438671,100.00,0.02,frontend cycles idle
9699763712,,stalled-cycles-backend,10007430838,100.00,60.58,backend cycles idle
1459685268,,eu_stall,10007420463,100.00,145.859,M/sec
4094926,,if_stall,10007408088,100.00,409.186,K/sec
874827,,id_stall,10007393004,100.00,87.417,K/sec
40346,,ib_stall,10007377504,100.00,4.032,K/sec
