counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.49,msec,task-clock,10003485461,100.00,1.000,CPUs utilized
10,,context-switches,10003481794,100.00,1.000,/sec
0,,cpu-migrations,10003480753,100.00,0.000,/sec
0,,page-faults,10003480170,100.00,0.000,/sec
16005463847,,cycles,10003460835,100.00,1.600,GHz
31964941431,,instructions,10003450584,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
534657,,branches,10003447793,100.00,53.447,K/sec
7812,,branch-misses,10003440002,100.00,1.46,of all branches
12920831,,stalled-cycles-frontend,10003432835,100.00,0.08,frontend cycles idle
5073968,,stalled-cycles-backend,10003425835,100.00,0.03,backend cycles idle
4721053,,eu_stall,10003415293,100.00,471.941,K/sec
3964093,,if_stall,10003403335,100.00,396.271,K/sec
839775,,id_stall,10003389501,100.00,83.948,K/sec
39030,,ib_stall,10003374793,100.00,3.902,K/sec
