counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.63,msec,task-clock,10003627128,100.00,1.000,CPUs utilized
6,,context-switches,10003628337,100.00,0.600,/sec
0,,cpu-migrations,10003627670,100.00,0.000,/sec
0,,page-faults,10003627462,100.00,0.000,/sec
16005666220,,cycles,10003573962,100.00,1.600,GHz
31965270487,,instructions,10003566587,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
550370,,branches,10003565462,100.00,55.017,K/sec
7295,,branch-misses,10003557796,100.00,1.33,of all branches
13223236,,stalled-cycles-frontend,10003551296,100.00,0.08,frontend cycles idle
4834445,,stalled-cycles-backend,10003544254,100.00,0.03,backend cycles idle
4479841,,eu_stall,10003533713,100.00,447.822,K/sec
4238321,,if_stall,10003521379,100.00,423.678,K/sec
822453,,id_stall,10003508712,100.00,82.215,K/sec
40305,,ib_stall,10003492754,100.00,4.029,K/sec
