counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10002.95,msec,task-clock,10002952422,100.00,1.000,CPUs utilized
24,,context-switches,10002949922,100.00,2.399,/sec
0,,cpu-migrations,10002950214,100.00,0.000,/sec
0,,page-faults,10002948381,100.00,0.000,/sec
16004747762,,cycles,10003038960,100.00,1.600,GHz
6498807166,,instructions,10003026210,100.00,0.41,insn per cycle
,,,,1.48,stalled cycles per insn
587255,,branches,10003024752,100.00,58.708,K/sec
12910,,branch-misses,10003016835,100.00,2.20,of all branches
4278949,,stalled-cycles-frontend,10003010502,100.00,0.03,frontend cycles idle
9621204978,,stalled-cycles-backend,10003002627,100.00,60.11,backend cycles idle
701876771,,eu_stall,10002993586,100.00,70.167,M/sec
4598691,,if_stall,10002981377,100.00,459.733,K/sec
830130,,id_stall,10002967961,100.00,82.988,K/sec
41597,,ib_stall,10002951711,100.00,4.158,K/sec
