counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.71,msec,task-clock,10003706756,100.00,1.000,CPUs utilized
5,,context-switches,10003702381,100.00,0.500,/sec
0,,cpu-migrations,10003700297,100.00,0.000,/sec
0,,page-faults,10003700046,100.00,0.000,/sec
16005773674,,cycles,10003639465,100.00,1.600,GHz
6793484032,,instructions,10003626339,100.00,0.42,insn per cycle
,,,,1.43,stalled cycles per insn
548544,,branches,10003624423,100.00,54.834,K/sec
7448,,branch-misses,10003616423,100.00,1.36,of all branches
3968270,,stalled-cycles-frontend,10003609714,100.00,0.02,frontend cycles idle
9695953048,,stalled-cycles-backend,10003600797,100.00,60.58,backend cycles idle
1459314683,,eu_stall,10003590755,100.00,145.877,M/sec
4316836,,if_stall,10003579130,100.00,431.524,K/sec
814610,,id_stall,10003564880,100.00,81.431,K/sec
40175,,ib_stall,10003549130,100.00,4.016,K/sec
