counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.76,msec,task-clock,10003763087,100.00,1.000,CPUs utilized
4,,context-switches,10003760837,100.00,0.400,/sec
0,,cpu-migrations,10003760087,100.00,0.000,/sec
0,,page-faults,10003759962,100.00,0.000,/sec
16005867409,,cycles,10003692754,100.00,1.600,GHz
31966419616,,instructions,10003677004,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
557742,,branches,10003673671,100.00,55.753,K/sec
5329,,branch-misses,10003665671,100.00,0.96,of all branches
12962706,,stalled-cycles-frontend,10003659379,100.00,0.08,frontend cycles idle
4721867,,stalled-cycles-backend,10003650171,100.00,0.03,backend cycles idle
4602078,,eu_stall,10003640588,100.00,460.035,K/sec
4010156,,if_stall,10003627671,100.00,400.865,K/sec
747881,,id_stall,10003612463,100.00,74.760,K/sec
39003,,ib_stall,10003595630,100.00,3.899,K/sec
