,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
0,10003.83,2.0,0.0,0.0,16006010935.0,31967032761.0,514309.0,3974.0,13240122.0,4369987.0,2964905.0,4287373.0,685144.0,36851.0,i-results,ORI_V0,MULW_V0,ORI_V0_MULW_V0-10
1,10002.95,13.0,0.0,0.0,16004555028.0,8025905668.0,3064411.0,24506.0,25627301.0,7972125313.0,23854458352.0,25189711.0,3691819.0,271471.0,i-results,DIVUW_V0,MULHSU_V0,DIVUW_V0_MULHSU_V0-10
2,10003.85,2.0,0.0,0.0,16006036116.0,8004679350.0,516648.0,4713.0,19101781.0,7992598367.0,11997836450.0,4685332.0,936906.0,36735.0,i-results,AUIPC_V0,MULH_V0,AUIPC_V0_MULH_V0-10
3,9974.12,376.0,0.0,0.0,15963260902.0,26551753515.0,1054363.0,87822.0,2667835125.0,8761061.0,8861995.0,9724055.0,1965210.0,86476.0,i-results,AUIPC_V0,MULW_V0,AUIPC_V0_MULW_V0-10
4,10003.4,12.0,0.0,0.0,16005286307.0,10670175457.0,536766.0,8352.0,20712041.0,5330063718.0,10665456663.0,4119810.0,980605.0,38640.0,i-results,AUIPC_V0,MUL_V0,AUIPC_V0_MUL_V0-10
5,10003.83,2.0,0.0,0.0,16006004080.0,26651095852.0,515297.0,4675.0,2671837147.0,4371492.0,3226438.0,4298056.0,924774.0,36005.0,i-results,AUIPC_V0,ORI_V0,AUIPC_V0_ORI_V0-10
6,9932.91,1624.0,0.0,0.0,15914095406.0,26422553016.0,2606624.0,235509.0,2657417622.0,15425198.0,17784240.0,13782733.0,3008050.0,263247.0,i-results,AUIPC_V0,OR_V0,AUIPC_V0_OR_V0-10
7,9933.03,1626.0,0.0,0.0,15913520038.0,10613920030.0,2614552.0,249087.0,35246823.0,5283741896.0,10566037527.0,14099193.0,3452029.0,252466.0,i-results,AUIPC_V0,REMUW_V0,AUIPC_V0_REMUW_V0-10
8,10003.87,1.0,0.0,0.0,16006053959.0,10671138335.0,536851.0,3036.0,20301945.0,5330276920.0,10666520438.0,3740106.0,961786.0,38358.0,i-results,AUIPC_V0,REMU_V0,AUIPC_V0_REMU_V0-10
9,10003.37,12.0,0.0,0.0,16005296251.0,10670282888.0,535167.0,7430.0,20707406.0,5330043204.0,10665434903.0,4085113.0,935350.0,38623.0,i-results,AUIPC_V0,REM_V0,AUIPC_V0_REM_V0-10
10,10003.43,12.0,0.0,0.0,16005381727.0,26648565223.0,537168.0,9442.0,2671249509.0,5441042.0,4779178.0,4039961.0,977512.0,40242.0,i-results,AUIPC_V0,SLLIW_V0,AUIPC_V0_SLLIW_V0-10
11,10003.75,4.0,0.0,0.0,16005841019.0,26650138350.0,541535.0,5181.0,2671408121.0,5061612.0,4787964.0,4008189.0,920339.0,38960.0,i-results,AUIPC_V0,SLLI_V0,AUIPC_V0_SLLI_V0-10
12,10003.37,12.0,0.0,0.0,16005259123.0,26648152698.0,535798.0,9698.0,2671340394.0,5494731.0,4965893.0,4146677.0,965824.0,39866.0,i-results,AUIPC_V0,SLLW_V0,AUIPC_V0_SLLW_V0-10
13,10003.93,1.0,0.0,0.0,16006149526.0,26651478411.0,536451.0,2980.0,2671198452.0,4937773.0,4685264.0,3750675.0,889219.0,38637.0,i-results,AUIPC_V0,SLL_V0,AUIPC_V0_SLL_V0-10
14,10003.76,4.0,0.0,0.0,16005881402.0,26650098659.0,543114.0,5969.0,2671297157.0,5220635.0,4870830.0,3929778.0,897640.0,38137.0,i-results,AUIPC_V0,SLTIU_V0,AUIPC_V0_SLTIU_V0-10
15,10003.51,11.0,0.0,0.0,16005492588.0,26649187264.0,534585.0,7459.0,2671154932.0,5372411.0,4945292.0,3897823.0,960725.0,38601.0,i-results,AUIPC_V0,SLTI_V0,AUIPC_V0_SLTI_V0-10
16,10003.53,5.0,0.0,0.0,16005514357.0,26648633094.0,541611.0,5928.0,2671444080.0,5385620.0,4882834.0,4195602.0,906600.0,39432.0,i-results,AUIPC_V0,SLTU_V0,AUIPC_V0_SLTU_V0-10
17,9934.93,1533.0,0.0,0.0,15916071639.0,26427354846.0,2496851.0,231191.0,2657984768.0,15814560.0,19154326.0,13586433.0,3058304.0,230800.0,i-results,AUIPC_V0,SLT_V0,AUIPC_V0_SLT_V0-10
18,9981.84,332.0,0.0,0.0,15974990721.0,26575535385.0,990715.0,83225.0,2669419169.0,7867960.0,8005132.0,9129554.0,1717184.0,77456.0,i-results,AUIPC_V0,SRAIW_V0,AUIPC_V0_SRAIW_V0-10
19,10003.85,2.0,0.0,0.0,16006028339.0,26651395976.0,516941.0,4570.0,2671817183.0,4272008.0,3177624.0,4247932.0,1063404.0,36767.0,i-results,AUIPC_V0,SRAI_V0,AUIPC_V0_SRAI_V0-10
20,10003.94,0.0,0.0,0.0,16006187115.0,26651694013.0,534184.0,2328.0,2671180862.0,4946448.0,4762593.0,3688748.0,928703.0,38302.0,i-results,AUIPC_V0,SRAW_V0,AUIPC_V0_SRAW_V0-10
21,10003.82,3.0,0.0,0.0,16005974194.0,26650027343.0,541388.0,5060.0,2671415422.0,5257949.0,4927392.0,4037436.0,929333.0,38987.0,i-results,AUIPC_V0,SRA_V0,AUIPC_V0_SRA_V0-10
22,9932.24,1612.0,0.0,0.0,15912579740.0,26419725654.0,2597184.0,237006.0,2656952050.0,16226557.0,19110882.0,13703790.0,3369625.0,254961.0,i-results,AUIPC_V0,SRLIW_V0,AUIPC_V0_SRLIW_V0-10
23,10003.82,2.0,0.0,0.0,16005960656.0,26650272381.0,540495.0,4185.0,2671325501.0,5236759.0,4798165.0,3949786.0,916964.0,39239.0,i-results,AUIPC_V0,SRLI_V0,AUIPC_V0_SRLI_V0-10
