counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.39,msec,task-clock,10003390251,100.00,1.000,CPUs utilized
12,,context-switches,10003387085,100.00,1.200,/sec
0,,cpu-migrations,10003386294,100.00,0.000,/sec
0,,page-faults,10003384960,100.00,0.000,/sec
16005291800,,cycles,10003368045,100.00,1.600,GHz
31963859253,,instructions,10003353753,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
557132,,branches,10003350044,100.00,55.694,K/sec
8737,,branch-misses,10003340378,100.00,1.57,of all branches
13245374,,stalled-cycles-frontend,10003331587,100.00,0.08,frontend cycles idle
4967271,,stalled-cycles-backend,10003321420,100.00,0.03,backend cycles idle
4701167,,eu_stall,10003310670,100.00,469.957,K/sec
4288630,,if_stall,10003296962,100.00,428.718,K/sec
811467,,id_stall,10003283003,100.00,81.119,K/sec
38363,,ib_stall,10003267295,100.00,3.835,K/sec
