counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.46,msec,task-clock,10003461378,100.00,1.000,CPUs utilized
10,,context-switches,10003460504,100.00,1.000,/sec
0,,cpu-migrations,10003460879,100.00,0.000,/sec
0,,page-faults,10003459629,100.00,0.000,/sec
16005393611,,cycles,10003428791,100.00,1.600,GHz
31964501018,,instructions,10003417792,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
535830,,branches,10003416501,100.00,53.564,K/sec
7505,,branch-misses,10003406626,100.00,1.40,of all branches
13163944,,stalled-cycles-frontend,10003400835,100.00,0.08,frontend cycles idle
4968091,,stalled-cycles-backend,10003392960,100.00,0.03,backend cycles idle
4612831,,eu_stall,10003382335,100.00,461.123,K/sec
4208941,,if_stall,10003370669,100.00,420.748,K/sec
821547,,id_stall,10003356294,100.00,82.126,K/sec
38569,,ib_stall,10003339919,100.00,3.856,K/sec
