counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9951.48,msec,task-clock,9951484707,100.00,0.995,CPUs utilized
987,,context-switches,9951480332,100.00,99.181,/sec
1,,cpu-migrations,9951478707,100.00,0.100,/sec
0,,page-faults,9951476748,100.00,0.000,/sec
15934817310,,cycles,9961467487,100.00,1.601,GHz
31755342948,,instructions,9961450028,100.00,1.99,insn per cycle
,,,,0.00,stalled cycles per insn
1816410,,branches,9961445070,100.00,182.527,K/sec
168261,,branch-misses,9961435779,100.00,9.26,of all branches
24920139,,stalled-cycles-frontend,9961427904,100.00,0.16,frontend cycles idle
11690521,,stalled-cycles-backend,9961418988,100.00,0.07,backend cycles idle
12951853,,eu_stall,9961407280,100.00,1.301,M/sec
12718117,,if_stall,9961394196,100.00,1.278,M/sec
2211169,,id_stall,9961379363,100.00,222.195,K/sec
158448,,ib_stall,9961361904,100.00,15.922,K/sec
