counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.43,msec,task-clock,10003426211,100.00,1.000,CPUs utilized
12,,context-switches,10003426920,100.00,1.200,/sec
0,,cpu-migrations,10003427003,100.00,0.000,/sec
0,,page-faults,10003426712,100.00,0.000,/sec
16005392289,,cycles,10003413920,100.00,1.600,GHz
31964803255,,instructions,10003405295,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
536478,,branches,10003402921,100.00,53.629,K/sec
7707,,branch-misses,10003398504,100.00,1.44,of all branches
12963549,,stalled-cycles-frontend,10003394504,100.00,0.08,frontend cycles idle
5018885,,stalled-cycles-backend,10003387587,100.00,0.03,backend cycles idle
4538466,,eu_stall,10003378711,100.00,453.691,K/sec
4039561,,if_stall,10003366961,100.00,403.818,K/sec
776992,,id_stall,10003354253,100.00,77.673,K/sec
38402,,ib_stall,10003338669,100.00,3.839,K/sec
