counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10001.42,msec,task-clock,10001424671,100.00,1.000,CPUs utilized
38,,context-switches,10001418963,100.00,3.799,/sec
0,,cpu-migrations,10001413380,100.00,0.000,/sec
0,,page-faults,10001403005,100.00,0.000,/sec
16002145203,,cycles,10001501003,100.00,1.600,GHz
31797858433,,instructions,10001482253,100.00,1.99,insn per cycle
,,,,0.00,stalled cycles per insn
3093485,,branches,10001476544,100.00,309.304,K/sec
38007,,branch-misses,10001460169,100.00,1.23,of all branches
41798138,,stalled-cycles-frontend,10001446836,100.00,0.26,frontend cycles idle
34519327,,stalled-cycles-backend,10001433587,100.00,0.22,backend cycles idle
30032332,,eu_stall,10001421088,100.00,3.003,M/sec
25660899,,if_stall,10001403088,100.00,2.566,M/sec
3850470,,id_stall,10001384296,100.00,384.992,K/sec
272256,,ib_stall,10001363671,100.00,27.222,K/sec
