counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.89,msec,task-clock,10003887254,100.00,1.000,CPUs utilized
2,,context-switches,10003885337,100.00,0.200,/sec
0,,cpu-migrations,10003885837,100.00,0.000,/sec
0,,page-faults,10003886962,100.00,0.000,/sec
16006092343,,cycles,10003827296,100.00,1.600,GHz
26651511450,,instructions,10003819463,100.00,1.67,insn per cycle
,,,,0.10,stalled cycles per insn
515954,,branches,10003818713,100.00,51.575,K/sec
4372,,branch-misses,10003814879,100.00,0.85,of all branches
2671801532,,stalled-cycles-frontend,10003810545,100.00,16.69,frontend cycles idle
4338460,,stalled-cycles-backend,10003804254,100.00,0.03,backend cycles idle
3260144,,eu_stall,10003795504,100.00,325.888,K/sec
4247577,,if_stall,10003786796,100.00,424.593,K/sec
1016730,,id_stall,10003773588,100.00,101.633,K/sec
37286,,ib_stall,10003759046,100.00,3.727,K/sec
