counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9980.01,msec,task-clock,9980012299,100.00,0.998,CPUs utilized
333,,context-switches,9980012090,100.00,33.367,/sec
0,,cpu-migrations,9980011256,100.00,0.000,/sec
0,,page-faults,9980011589,100.00,0.000,/sec
15972169583,,cycles,9983507799,100.00,1.600,GHz
10647579282,,instructions,9983496132,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
989850,,branches,9983494050,100.00,99.183,K/sec
81287,,branch-misses,9983484007,100.00,8.21,of all branches
10107566,,stalled-cycles-frontend,9983477424,100.00,0.06,frontend cycles idle
5317356541,,stalled-cycles-backend,9983467216,100.00,33.29,backend cycles idle
10748706902,,eu_stall,9983454840,100.00,1.077,G/sec
9046415,,if_stall,9983441674,100.00,906.453,K/sec
1307454,,id_stall,9983425799,100.00,131.007,K/sec
76901,,ib_stall,9983407090,100.00,7.706,K/sec
