counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.40,msec,task-clock,10003404626,100.00,1.000,CPUs utilized
12,,context-switches,10003401710,100.00,1.200,/sec
0,,cpu-migrations,10003400460,100.00,0.000,/sec
0,,page-faults,10003399253,100.00,0.000,/sec
16005343412,,cycles,10003384254,100.00,1.600,GHz
10670621378,,instructions,10003368588,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
534962,,branches,10003364672,100.00,53.478,K/sec
7340,,branch-misses,10003355589,100.00,1.37,of all branches
4469315,,stalled-cycles-frontend,10003347296,100.00,0.03,frontend cycles idle
5332774576,,stalled-cycles-backend,10003337921,100.00,33.32,backend cycles idle
10715185204,,eu_stall,10003326297,100.00,1.071,G/sec
4093084,,if_stall,10003312713,100.00,409.169,K/sec
737186,,id_stall,10003296547,100.00,73.694,K/sec
38351,,ib_stall,10003278838,100.00,3.834,K/sec
