counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.83,msec,task-clock,10003829504,100.00,1.000,CPUs utilized
2,,context-switches,10003827629,100.00,0.200,/sec
0,,cpu-migrations,10003828087,100.00,0.000,/sec
0,,page-faults,10003828628,100.00,0.000,/sec
16006004491,,cycles,10003775839,100.00,1.600,GHz
10671189084,,instructions,10003766297,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
514663,,branches,10003762797,100.00,51.447,K/sec
3598,,branch-misses,10003758297,100.00,0.70,of all branches
5098753,,stalled-cycles-frontend,10003752422,100.00,0.03,frontend cycles idle
5332264706,,stalled-cycles-backend,10003745922,100.00,33.31,backend cycles idle
10852935383,,eu_stall,10003737463,100.00,1.085,G/sec
4668331,,if_stall,10003726505,100.00,466.654,K/sec
685894,,id_stall,10003713754,100.00,68.563,K/sec
36546,,ib_stall,10003699046,100.00,3.653,K/sec
