counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10002.35,msec,task-clock,10002354460,100.00,1.000,CPUs utilized
17,,context-switches,10002355085,100.00,1.700,/sec
0,,cpu-migrations,10002355293,100.00,0.000,/sec
0,,page-faults,10002354793,100.00,0.000,/sec
16003657841,,cycles,10002374169,100.00,1.600,GHz
10672587603,,instructions,10002368544,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
3059707,,branches,10002367252,100.00,305.899,K/sec
28901,,branch-misses,10002360336,100.00,0.94,of all branches
27507775,,stalled-cycles-frontend,10002354420,100.00,0.17,frontend cycles idle
5323836349,,stalled-cycles-backend,10002347420,100.00,33.27,backend cycles idle
11284366015,,eu_stall,10002339420,100.00,1.128,G/sec
25004897,,if_stall,10002327046,100.00,2.500,M/sec
3771021,,id_stall,10002311962,100.00,377.013,K/sec
277064,,ib_stall,10002296129,100.00,27.700,K/sec
