counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.37,msec,task-clock,10003367795,100.00,1.000,CPUs utilized
12,,context-switches,10003361128,100.00,1.200,/sec
0,,cpu-migrations,10003360211,100.00,0.000,/sec
0,,page-faults,10003357586,100.00,0.000,/sec
16005261856,,cycles,10003329461,100.00,1.600,GHz
8004429611,,instructions,10003314170,100.00,0.50,insn per cycle
,,,,1.00,stalled cycles per insn
540047,,branches,10003310419,100.00,53.987,K/sec
9143,,branch-misses,10003301836,100.00,1.69,of all branches
4171740,,stalled-cycles-frontend,10003294711,100.00,0.03,frontend cycles idle
7999018605,,stalled-cycles-backend,10003286420,100.00,49.98,backend cycles idle
12003551281,,eu_stall,10003276295,100.00,1.200,G/sec
4124357,,if_stall,10003264545,100.00,412.297,K/sec
1022959,,id_stall,10003251003,100.00,102.261,K/sec
39097,,ib_stall,10003234337,100.00,3.908,K/sec
