counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.88,msec,task-clock,10003883503,100.00,1.000,CPUs utilized
2,,context-switches,10003884587,100.00,0.200,/sec
0,,cpu-migrations,10003884921,100.00,0.000,/sec
0,,page-faults,10003886463,100.00,0.000,/sec
16006096861,,cycles,10003828795,100.00,1.600,GHz
31966952755,,instructions,10003824962,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
516379,,branches,10003826836,100.00,51.618,K/sec
4714,,branch-misses,10003820086,100.00,0.91,of all branches
13455848,,stalled-cycles-frontend,10003816003,100.00,0.08,frontend cycles idle
4224478,,stalled-cycles-backend,10003808712,100.00,0.03,backend cycles idle
3229573,,eu_stall,10003800545,100.00,322.832,K/sec
4517765,,if_stall,10003789295,100.00,451.601,K/sec
997093,,id_stall,10003778129,100.00,99.671,K/sec
36473,,ib_stall,10003763754,100.00,3.646,K/sec
