counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
9979.78,msec,task-clock,9979775465,100.00,0.998,CPUs utilized
338,,context-switches,9979773007,100.00,33.868,/sec
0,,cpu-migrations,9979773507,100.00,0.000,/sec
0,,page-faults,9979773090,100.00,0.000,/sec
15971906853,,cycles,9983403331,100.00,1.600,GHz
4003984422,,instructions,9983391706,100.00,0.25,insn per cycle
,,,,2.99,stalled cycles per insn
1001021,,branches,9983389122,100.00,100.305,K/sec
79146,,branch-misses,9983380290,100.00,7.91,of all branches
9073919,,stalled-cycles-frontend,9983372873,100.00,0.06,frontend cycles idle
11961056738,,stalled-cycles-backend,9983362206,100.00,74.89,backend cycles idle
11962463871,,eu_stall,9983351164,100.00,1.199,G/sec
9461486,,if_stall,9983337748,100.00,948.066,K/sec
1390081,,id_stall,9983323164,100.00,139.290,K/sec
75064,,ib_stall,9983306998,100.00,7.522,K/sec
