counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.61,msec,task-clock,10003613588,100.00,1.000,CPUs utilized
6,,context-switches,10003613088,100.00,0.600,/sec
0,,cpu-migrations,10003611796,100.00,0.000,/sec
0,,page-faults,10003612171,100.00,0.000,/sec
16005679119,,cycles,10003580627,100.00,1.600,GHz
8004758569,,instructions,10003571543,100.00,0.50,insn per cycle
,,,,1.00,stalled cycles per insn
545978,,branches,10003568459,100.00,54.578,K/sec
7681,,branch-misses,10003559001,100.00,1.41,of all branches
4187660,,stalled-cycles-frontend,10003552127,100.00,0.03,frontend cycles idle
7999988705,,stalled-cycles-backend,10003543085,100.00,49.98,backend cycles idle
23914898119,,eu_stall,10003533085,100.00,2.391,G/sec
4149564,,if_stall,10003519376,100.00,414.807,K/sec
813485,,id_stall,10003507127,100.00,81.319,K/sec
40109,,ib_stall,10003492085,100.00,4.009,K/sec
