counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10004.04,msec,task-clock,10004036045,100.00,1.000,CPUs utilized
0,,context-switches,10004034794,100.00,0.000,/sec
0,,cpu-migrations,10004036170,100.00,0.000,/sec
0,,page-faults,10004036670,100.00,0.000,/sec
16006334704,,cycles,10003970754,100.00,1.600,GHz
8005319698,,instructions,10003966338,100.00,0.50,insn per cycle
,,,,1.00,stalled cycles per insn
534426,,branches,10003964921,100.00,53.421,K/sec
2167,,branch-misses,10003962378,100.00,0.41,of all branches
3775116,,stalled-cycles-frontend,10003957295,100.00,0.02,frontend cycles idle
8000451066,,stalled-cycles-backend,10003950336,100.00,49.98,backend cycles idle
23907714819,,eu_stall,10003940794,100.00,2.390,G/sec
3764007,,if_stall,10003930503,100.00,376.249,K/sec
714296,,id_stall,10003917919,100.00,71.401,K/sec
38137,,ib_stall,10003901878,100.00,3.812,K/sec
