counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.85,msec,task-clock,10003849339,100.00,1.000,CPUs utilized
2,,context-switches,10003850422,100.00,0.200,/sec
0,,cpu-migrations,10003849672,100.00,0.000,/sec
0,,page-faults,10003849421,100.00,0.000,/sec
16006031455,,cycles,10003792088,100.00,1.600,GHz
10671370525,,instructions,10003784922,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
514315,,branches,10003784880,100.00,51.412,K/sec
3986,,branch-misses,10003780171,100.00,0.78,of all branches
4770222,,stalled-cycles-frontend,10003774671,100.00,0.03,frontend cycles idle
5332430335,,stalled-cycles-backend,10003767130,100.00,33.32,backend cycles idle
10665504310,,eu_stall,10003758963,100.00,1.066,G/sec
4324270,,if_stall,10003747296,100.00,432.261,K/sec
724172,,id_stall,10003733505,100.00,72.389,K/sec
36188,,ib_stall,10003717505,100.00,3.617,K/sec
