counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10001.72,msec,task-clock,10001719045,100.00,1.000,CPUs utilized
32,,context-switches,10001716004,100.00,3.199,/sec
0,,cpu-migrations,10001715087,100.00,0.000,/sec
0,,page-faults,10001714796,100.00,0.000,/sec
16002650717,,cycles,10001786419,100.00,1.600,GHz
31796848171,,instructions,10001772460,100.00,1.99,insn per cycle
,,,,0.00,stalled cycles per insn
3077601,,branches,10001769335,100.00,307.707,K/sec
36178,,branch-misses,10001760918,100.00,1.18,of all branches
41504648,,stalled-cycles-frontend,10001754001,100.00,0.26,frontend cycles idle
34428033,,stalled-cycles-backend,10001744543,100.00,0.22,backend cycles idle
30225171,,eu_stall,10001733751,100.00,3.022,M/sec
25379449,,if_stall,10001722501,100.00,2.538,M/sec
3903939,,id_stall,10001708584,100.00,390.327,K/sec
276525,,ib_stall,10001692377,100.00,27.648,K/sec
