counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.85,msec,task-clock,10003851546,100.00,1.000,CPUs utilized
2,,context-switches,10003850796,100.00,0.200,/sec
0,,cpu-migrations,10003850879,100.00,0.000,/sec
0,,page-faults,10003851795,100.00,0.000,/sec
16006028332,,cycles,10003789755,100.00,1.600,GHz
10671351239,,instructions,10003784379,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
537116,,branches,10003784046,100.00,53.691,K/sec
3817,,branch-misses,10003776129,100.00,0.71,of all branches
4326349,,stalled-cycles-frontend,10003770047,100.00,0.03,frontend cycles idle
5332911152,,stalled-cycles-backend,10003760963,100.00,33.32,backend cycles idle
21287865279,,eu_stall,10003752129,100.00,2.128,G/sec
3976237,,if_stall,10003740463,100.00,397.471,K/sec
736249,,id_stall,10003727629,100.00,73.597,K/sec
39664,,ib_stall,10003712753,100.00,3.965,K/sec
