counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.57,msec,task-clock,10003570751,100.00,1.000,CPUs utilized
11,,context-switches,10003568001,100.00,1.100,/sec
0,,cpu-migrations,10003568584,100.00,0.000,/sec
0,,page-faults,10003569293,100.00,0.000,/sec
16005623908,,cycles,10003559792,100.00,1.600,GHz
31965572225,,instructions,10003545751,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
534355,,branches,10003542584,100.00,53.416,K/sec
7463,,branch-misses,10003534085,100.00,1.40,of all branches
12864061,,stalled-cycles-frontend,10003526794,100.00,0.08,frontend cycles idle
4945350,,stalled-cycles-backend,10003519294,100.00,0.03,backend cycles idle
4631618,,eu_stall,10003507710,100.00,462.996,K/sec
3932457,,if_stall,10003495543,100.00,393.105,K/sec
774845,,id_stall,10003482085,100.00,77.457,K/sec
38311,,ib_stall,10003465461,100.00,3.830,K/sec
