counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.96,msec,task-clock,10003958752,100.00,1.000,CPUs utilized
0,,context-switches,10003957086,100.00,0.000,/sec
0,,cpu-migrations,10003957961,100.00,0.000,/sec
0,,page-faults,10003958128,100.00,0.000,/sec
16006203430,,cycles,10003889840,100.00,1.600,GHz
31968507101,,instructions,10003878297,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
500383,,branches,10003878130,100.00,50.018,K/sec
2716,,branch-misses,10003873797,100.00,0.54,of all branches
12333982,,stalled-cycles-frontend,10003866879,100.00,0.08,frontend cycles idle
4753702,,stalled-cycles-backend,10003860629,100.00,0.03,backend cycles idle
4482415,,eu_stall,10003851504,100.00,448.064,K/sec
3508573,,if_stall,10003839253,100.00,350.718,K/sec
818391,,id_stall,10003827170,100.00,81.807,K/sec
35595,,ib_stall,10003813295,100.00,3.558,K/sec
