counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.32,msec,task-clock,10003321879,100.00,1.000,CPUs utilized
13,,context-switches,10003318587,100.00,1.300,/sec
0,,cpu-migrations,10003318670,100.00,0.000,/sec
0,,page-faults,10003317796,100.00,0.000,/sec
16005206546,,cycles,10003302669,100.00,1.600,GHz
5338584022,,instructions,10003289585,100.00,0.33,insn per cycle
,,,,2.00,stalled cycles per insn
538052,,branches,10003286752,100.00,53.787,K/sec
9559,,branch-misses,10003277377,100.00,1.78,of all branches
3865300,,stalled-cycles-frontend,10003269419,100.00,0.02,frontend cycles idle
10664912563,,stalled-cycles-backend,10003260628,100.00,66.63,backend cycles idle
10665933085,,eu_stall,10003249669,100.00,1.066,G/sec
4254254,,if_stall,10003237670,100.00,425.284,K/sec
839379,,id_stall,10003224378,100.00,83.910,K/sec
40555,,ib_stall,10003207711,100.00,4.054,K/sec
