counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.93,msec,task-clock,10003926963,100.00,1.000,CPUs utilized
0,,context-switches,10003927046,100.00,0.000,/sec
0,,cpu-migrations,10003928295,100.00,0.000,/sec
0,,page-faults,10003930587,100.00,0.000,/sec
16006152052,,cycles,10003856378,100.00,1.600,GHz
26641559776,,instructions,10003845337,100.00,1.66,insn per cycle
,,,,0.10,stalled cycles per insn
500608,,branches,10003844504,100.00,50.041,K/sec
2308,,branch-misses,10003838462,100.00,0.46,of all branches
2676494949,,stalled-cycles-frontend,10003832587,100.00,16.72,frontend cycles idle
4665905,,stalled-cycles-backend,10003825754,100.00,0.03,backend cycles idle
4423743,,eu_stall,10003816837,100.00,442.201,K/sec
3483238,,if_stall,10003805129,100.00,348.187,K/sec
875651,,id_stall,10003791962,100.00,87.531,K/sec
35454,,ib_stall,10003776003,100.00,3.544,K/sec
