counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.75,msec,task-clock,10003748879,100.00,1.000,CPUs utilized
4,,context-switches,10003750088,100.00,0.400,/sec
0,,cpu-migrations,10003751672,100.00,0.000,/sec
0,,page-faults,10003751171,100.00,0.000,/sec
16005873565,,cycles,10003694587,100.00,1.600,GHz
31965716584,,instructions,10003688920,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
560818,,branches,10003688503,100.00,56.061,K/sec
5995,,branch-misses,10003682753,100.00,1.07,of all branches
13010913,,stalled-cycles-frontend,10003676254,100.00,0.08,frontend cycles idle
5040661,,stalled-cycles-backend,10003669921,100.00,0.03,backend cycles idle
4559383,,eu_stall,10003659045,100.00,455.767,K/sec
4048033,,if_stall,10003647545,100.00,404.652,K/sec
788238,,id_stall,10003633379,100.00,78.794,K/sec
40927,,ib_stall,10003618503,100.00,4.091,K/sec
