counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.88,msec,task-clock,10003884169,100.00,1.000,CPUs utilized
1,,context-switches,10003885211,100.00,0.100,/sec
0,,cpu-migrations,10003886586,100.00,0.000,/sec
0,,page-faults,10003886545,100.00,0.000,/sec
16006075966,,cycles,10003814002,100.00,1.600,GHz
31967543357,,instructions,10003810294,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
530797,,branches,10003809086,100.00,53.059,K/sec
3883,,branch-misses,10003802961,100.00,0.73,of all branches
13275406,,stalled-cycles-frontend,10003797419,100.00,0.08,frontend cycles idle
4157293,,stalled-cycles-backend,10003789503,100.00,0.03,backend cycles idle
3081355,,eu_stall,10003780503,100.00,308.016,K/sec
4343293,,if_stall,10003768461,100.00,434.161,K/sec
749418,,id_stall,10003754087,100.00,74.913,K/sec
39302,,ib_stall,10003736003,100.00,3.929,K/sec
