counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10001.92,msec,task-clock,10001920420,100.00,1.000,CPUs utilized
15,,context-switches,10001917794,100.00,1.500,/sec
0,,cpu-migrations,10001916211,100.00,0.000,/sec
0,,page-faults,10001915836,100.00,0.000,/sec
16002899977,,cycles,10001903794,100.00,1.600,GHz
31803429566,,instructions,10001897628,100.00,1.99,insn per cycle
,,,,0.00,stalled cycles per insn
3062326,,branches,10001897045,100.00,306.174,K/sec
26417,,branch-misses,10001890670,100.00,0.86,of all branches
40347899,,stalled-cycles-frontend,10001884253,100.00,0.25,frontend cycles idle
33748728,,stalled-cycles-backend,10001876378,100.00,0.21,backend cycles idle
29179664,,eu_stall,10001866712,100.00,2.917,M/sec
24344207,,if_stall,10001854628,100.00,2.434,M/sec
3687214,,id_stall,10001840962,100.00,368.651,K/sec
271781,,ib_stall,10001823962,100.00,27.173,K/sec
