counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.83,msec,task-clock,10003830210,100.00,1.000,CPUs utilized
3,,context-switches,10003828711,100.00,0.300,/sec
0,,cpu-migrations,10003828419,100.00,0.000,/sec
0,,page-faults,10003827545,100.00,0.000,/sec
16005991617,,cycles,10003772880,100.00,1.600,GHz
26639575219,,instructions,10003763797,100.00,1.66,insn per cycle
,,,,0.10,stalled cycles per insn
537888,,branches,10003762005,100.00,53.768,K/sec
4483,,branch-misses,10003753755,100.00,0.83,of all branches
2676776764,,stalled-cycles-frontend,10003746338,100.00,16.72,frontend cycles idle
5147642,,stalled-cycles-backend,10003737754,100.00,0.03,backend cycles idle
4555435,,eu_stall,10003727671,100.00,455.369,K/sec
3945902,,if_stall,10003715504,100.00,394.439,K/sec
869441,,id_stall,10003700713,100.00,86.911,K/sec
38927,,ib_stall,10003684171,100.00,3.891,K/sec
