counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.75,msec,task-clock,10003746377,100.00,1.000,CPUs utilized
4,,context-switches,10003743795,100.00,0.400,/sec
0,,cpu-migrations,10003743211,100.00,0.000,/sec
0,,page-faults,10003744211,100.00,0.000,/sec
16005878025,,cycles,10003697462,100.00,1.600,GHz
26639471286,,instructions,10003692920,100.00,1.66,insn per cycle
,,,,0.10,stalled cycles per insn
561124,,branches,10003690044,100.00,56.091,K/sec
5330,,branch-misses,10003685127,100.00,0.95,of all branches
2676865700,,stalled-cycles-frontend,10003678544,100.00,16.72,frontend cycles idle
4988179,,stalled-cycles-backend,10003671128,100.00,0.03,backend cycles idle
4551274,,eu_stall,10003661378,100.00,454.957,K/sec
4026943,,if_stall,10003649295,100.00,402.543,K/sec
919280,,id_stall,10003635629,100.00,91.894,K/sec
39021,,ib_stall,10003619462,100.00,3.901,K/sec
