counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.95,msec,task-clock,10003949297,100.00,1.000,CPUs utilized
0,,context-switches,10003946296,100.00,0.000,/sec
0,,cpu-migrations,10003947379,100.00,0.000,/sec
0,,page-faults,10003947296,100.00,0.000,/sec
16006191699,,cycles,10003880129,100.00,1.600,GHz
31968474682,,instructions,10003869837,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
515910,,branches,10003870962,100.00,51.571,K/sec
1885,,branch-misses,10003865379,100.00,0.37,of all branches
12495910,,stalled-cycles-frontend,10003858629,100.00,0.08,frontend cycles idle
4600211,,stalled-cycles-backend,10003852378,100.00,0.03,backend cycles idle
4416880,,eu_stall,10003844254,100.00,441.514,K/sec
3665567,,if_stall,10003832629,100.00,366.412,K/sec
747335,,id_stall,10003818795,100.00,74.704,K/sec
38283,,ib_stall,10003802045,100.00,3.827,K/sec
