counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.41,msec,task-clock,10003409420,100.00,1.000,CPUs utilized
12,,context-switches,10003404920,100.00,1.200,/sec
0,,cpu-migrations,10003404087,100.00,0.000,/sec
0,,page-faults,10003404462,100.00,0.000,/sec
16005358467,,cycles,10003397294,100.00,1.600,GHz
31964492029,,instructions,10003384503,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
535425,,branches,10003379711,100.00,53.524,K/sec
7219,,branch-misses,10003370711,100.00,1.35,of all branches
12889267,,stalled-cycles-frontend,10003361628,100.00,0.08,frontend cycles idle
5182898,,stalled-cycles-backend,10003351378,100.00,0.03,backend cycles idle
4684773,,eu_stall,10003340752,100.00,468.318,K/sec
3991009,,if_stall,10003327628,100.00,398.965,K/sec
744429,,id_stall,10003313628,100.00,74.418,K/sec
38511,,ib_stall,10003296920,100.00,3.850,K/sec
