counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10001.17,msec,task-clock,10001173839,100.00,1.000,CPUs utilized
39,,context-switches,10001170880,100.00,3.900,/sec
0,,cpu-migrations,10001171963,100.00,0.000,/sec
0,,page-faults,10001173380,100.00,0.000,/sec
16001873389,,cycles,10001361836,100.00,1.600,GHz
31793577045,,instructions,10001350294,100.00,1.99,insn per cycle
,,,,0.00,stalled cycles per insn
3109068,,branches,10001348835,100.00,310.870,K/sec
39928,,branch-misses,10001341168,100.00,1.28,of all branches
41911237,,stalled-cycles-frontend,10001334376,100.00,0.26,frontend cycles idle
35032098,,stalled-cycles-backend,10001325668,100.00,0.22,backend cycles idle
30971043,,eu_stall,10001316626,100.00,3.097,M/sec
25750915,,if_stall,10001305460,100.00,2.575,M/sec
3839418,,id_stall,10001292044,100.00,383.897,K/sec
277442,,ib_stall,10001275128,100.00,27.741,K/sec
