counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.86,msec,task-clock,10003861210,100.00,1.000,CPUs utilized
2,,context-switches,10003859835,100.00,0.200,/sec
0,,cpu-migrations,10003858919,100.00,0.000,/sec
0,,page-faults,10003858836,100.00,0.000,/sec
16006048455,,cycles,10003799380,100.00,1.600,GHz
10671317789,,instructions,10003793546,100.00,0.67,insn per cycle
,,,,0.50,stalled cycles per insn
558985,,branches,10003792004,100.00,55.877,K/sec
3744,,branch-misses,10003785254,100.00,0.67,of all branches
4343413,,stalled-cycles-frontend,10003781670,100.00,0.03,frontend cycles idle
5333056880,,stalled-cycles-backend,10003776045,100.00,33.32,backend cycles idle
10666780671,,eu_stall,10003766336,100.00,1.066,G/sec
3967676,,if_stall,10003754670,100.00,396.614,K/sec
798842,,id_stall,10003743087,100.00,79.853,K/sec
39284,,ib_stall,10003728379,100.00,3.927,K/sec
