counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.36,msec,task-clock,10003358421,100.00,1.000,CPUs utilized
12,,context-switches,10003353004,100.00,1.200,/sec
0,,cpu-migrations,10003350504,100.00,0.000,/sec
0,,page-faults,10003349338,100.00,0.000,/sec
16005253936,,cycles,10003334792,100.00,1.600,GHz
31963717105,,instructions,10003320209,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
537973,,branches,10003317833,100.00,53.779,K/sec
9076,,branch-misses,10003308584,100.00,1.69,of all branches
13042891,,stalled-cycles-frontend,10003300918,100.00,0.08,frontend cycles idle
5301391,,stalled-cycles-backend,10003292918,100.00,0.03,backend cycles idle
4869134,,eu_stall,10003282584,100.00,486.750,K/sec
4084903,,if_stall,10003269876,100.00,408.353,K/sec
843883,,id_stall,10003255834,100.00,84.360,K/sec
40012,,ib_stall,10003238250,100.00,4.000,K/sec
