counter value,counter unit,event name,run time,% measurement time,metric value,metric unit
10003.51,msec,task-clock,10003508126,100.00,1.000,CPUs utilized
11,,context-switches,10003507085,100.00,1.100,/sec
0,,cpu-migrations,10003507085,100.00,0.000,/sec
0,,page-faults,10003508459,100.00,0.000,/sec
16005523700,,cycles,10003487048,100.00,1.600,GHz
31964621698,,instructions,10003482714,100.00,2.00,insn per cycle
,,,,0.00,stalled cycles per insn
536088,,branches,10003482839,100.00,53.590,K/sec
7544,,branch-misses,10003478298,100.00,1.41,of all branches
13014308,,stalled-cycles-frontend,10003474173,100.00,0.08,frontend cycles idle
5182213,,stalled-cycles-backend,10003466465,100.00,0.03,backend cycles idle
4827628,,eu_stall,10003456340,100.00,482.594,K/sec
4086495,,if_stall,10003445215,100.00,408.506,K/sec
864247,,id_stall,10003432756,100.00,86.394,K/sec
38697,,ib_stall,10003416797,100.00,3.868,K/sec
